
[ParticleListDrawer] analysing particle collection genParticles
idx | ID - Name |Stat| Mo1 Mo2 Da1 Da2 |nMo nDa| pt eta phi | px py pz m |
0 | 2212 - p+ | 3 | -1 -1 2 178 | 0 36 | 0.000 26756.000 0.000 | 0.000 0.000 4000.000 0.938 |
1 | 2212 - p+ | 3 | -1 -1 3 181 | 0 58 | 0.000 -26756.000 0.000 | 0.000 0.000 -4000.000 0.938 |
2 | 21 - g | 3 | 0 0 4 116 | 1 10 | 0.778 7.011 -0.915 | 0.474 -0.617 431.268 -0.000 |
3 | 1 - d | 3 | 1 1 5 170 | 1 28 | 0.837 -8.105 1.677 | -0.089 0.833 -1386.226 -0.000 |
4 | 21 - g | 3 | 2 2 6 8 | 1 3 | 15.354 3.794 2.083 | -7.530 13.380 340.846 0.000 |
5 | 21 - g | 3 | 3 3 6 8 | 1 3 | 46.133 -3.945 2.781 | -43.166 16.276 -1191.399 0.000 |
6 | 21 - g | 3 | 4 5 101 122 | 2 19 | 577.127 -0.901 3.073 | -575.783 39.366 -593.502 -0.001 |
7 | 21 - g | 3 | 4 5 49 89 | 2 16 | 162.748 0.110 1.037 | 82.790 140.116 17.899 0.001 |
8 | 21 - g | 3 | 4 5 90 99 | 2 10 | 466.984 -0.559 -0.327 | 442.296 -149.827 -274.950 0.002 |
9 | 2 - u | 2 | 1 1 182 182 | 1 1 | 0.445 -7.138 1.321 | 0.110 0.431 -280.274 0.330 |
10 | 21 - g | 2 | 1 1 182 182 | 1 1 | 0.298 -5.292 1.381 | 0.056 0.293 -29.602 0.000 |
11 | 21 - g | 2 | 1 1 182 182 | 1 1 | 0.534 -4.508 1.025 | 0.277 0.457 -24.247 0.000 |
12 | 21 - g | 2 | 1 1 182 182 | 1 1 | 1.132 -4.735 -0.274 | 1.090 -0.307 -64.481 0.000 |
13 | 21 - g | 2 | 1 1 182 182 | 1 1 | 0.299 -5.624 -1.650 | -0.024 -0.298 -41.349 -0.000 |
14 | 21 - g | 2 | 1 1 182 182 | 1 1 | 0.219 -4.775 2.826 | -0.208 0.068 -12.949 -0.000 |
15 | -2 - ubar | 2 | 1 1 182 182 | 1 1 | 0.242 -5.670 2.075 | -0.117 0.212 -35.067 0.000 |
16 | 2 - u | 2 | 0 0 187 187 | 1 1 | 0.607 2.077 -2.635 | -0.531 -0.295 2.386 0.000 |
17 | 21 - g | 2 | 1 1 187 187 | 1 1 | 0.358 2.117 -1.590 | -0.007 -0.358 1.466 -0.000 |
18 | 21 - g | 2 | 1 1 187 187 | 1 1 | 0.220 1.207 0.084 | 0.219 0.018 0.335 0.000 |
19 | 21 - g | 2 | 1 1 187 187 | 1 1 | 0.432 0.719 -1.141 | 0.180 -0.393 0.338 0.000 |
20 | 21 - g | 2 | 1 1 187 187 | 1 1 | 1.085 1.213 -1.099 | 0.493 -0.967 1.663 0.000 |
21 | 21 - g | 2 | 1 1 187 187 | 1 1 | 0.524 2.732 -1.150 | 0.214 -0.479 4.010 -0.000 |
22 | 21 - g | 2 | 1 1 187 187 | 1 1 | 7.002 -2.586 -1.997 | -2.895 -6.376 -46.198 0.000 |
23 | 21 - g | 2 | 1 1 187 187 | 1 1 | 0.200 -3.666 -0.253 | 0.194 -0.050 -3.908 0.000 |
24 | 21 - g | 2 | 1 1 187 187 | 1 1 | 0.903 -3.055 0.585 | 0.753 0.499 -9.564 -0.000 |
25 | 21 - g | 2 | 1 1 187 187 | 1 1 | 1.358 -2.621 1.242 | 0.438 1.285 -9.291 0.000 |
26 | 21 - g | 2 | 1 1 187 187 | 1 1 | 0.619 -3.594 1.418 | 0.094 0.612 -11.243 0.000 |
27 | 21 - g | 2 | 1 1 187 187 | 1 1 | 0.986 -3.315 2.004 | -0.414 0.895 -13.557 0.000 |
28 | 21 - g | 2 | 1 1 187 187 | 1 1 | 2.640 -2.773 -2.480 | -2.083 -1.622 -21.048 0.000 |
29 | 21 - g | 2 | 1 1 187 187 | 1 1 | 0.285 -2.716 2.847 | -0.272 0.083 -2.143 0.000 |
30 | 21 - g | 2 | 1 1 187 187 | 1 1 | 1.093 -0.877 3.033 | -1.086 0.118 -1.087 -0.000 |
31 | 21 - g | 2 | 1 1 187 187 | 1 1 | 1.803 -0.366 2.482 | -1.425 1.106 -0.674 0.000 |
32 | 21 - g | 2 | 1 1 187 187 | 1 1 | 0.246 0.252 0.696 | 0.189 0.158 0.063 -0.000 |
33 | 21 - g | 2 | 1 1 187 187 | 1 1 | 0.761 2.164 2.136 | -0.407 0.642 3.268 0.000 |
34 | 21 - g | 2 | 0 0 187 187 | 1 1 | 1.920 3.486 1.250 | 0.606 1.822 31.320 -0.000 |
35 | 21 - g | 2 | 0 0 187 187 | 1 1 | 0.278 2.714 1.727 | -0.043 0.275 2.090 0.000 |
36 | 21 - g | 2 | 0 0 187 187 | 1 1 | 1.996 0.893 1.998 | -0.827 1.816 2.030 0.000 |
37 | 21 - g | 2 | 0 0 187 187 | 1 1 | 0.161 1.912 0.455 | 0.144 0.071 0.532 0.000 |
38 | -2 - ubar | 2 | 2 2 187 187 | 1 1 | 1.813 2.239 -0.588 | 1.509 -1.006 8.411 0.330 |
39 | 2101 - ud_0 | 2 | 0 0 227 227 | 1 1 | 0.175 10.243 2.097 | -0.088 0.152 2460.341 0.000 |
40 | 21 - g | 2 | 2 2 227 227 | 1 1 | 8.063 0.835 -1.041 | 4.075 -6.958 7.545 0.000 |
41 | 1 - d | 2 | 2 2 227 227 | 1 1 | 0.847 1.268 0.155 | 0.837 0.130 1.387 0.330 |
42 | 1 - d | 2 | 3 3 240 240 | 1 1 | 11.931 -0.546 -0.004 | 11.931 -0.042 -6.838 0.330 |
43 | 21 - g | 2 | 3 3 240 240 | 1 1 | 19.396 -0.696 0.040 | 19.381 0.776 -14.623 -0.000 |
44 | -1 - dbar | 2 | 3 3 240 240 | 1 1 | 9.390 -0.728 -0.036 | 9.384 -0.341 -7.457 0.330 |
45 | 1 - d | 2 | 3 3 245 245 | 1 1 | 9.243 -0.864 0.329 | 8.747 2.985 -9.016 0.330 |
46 | 21 - g | 2 | 3 3 245 245 | 1 1 | 12.490 -0.903 0.176 | 12.297 2.187 -12.878 0.000 |
47 | -2 - ubar | 2 | 3 3 245 245 | 1 1 | 15.661 -0.709 -0.122 | 15.545 -1.900 -12.054 0.330 |
48 | -1 - dbar | 2 | 2 2 253 253 | 1 1 | 6.900 0.592 1.546 | 0.170 6.898 4.328 0.330 |
49 | 21 - g | 2 | 7 7 253 253 | 1 1 | 19.107 0.481 1.386 | 3.515 18.781 9.552 0.000 |
50 | 21 - g | 2 | 7 7 253 253 | 1 1 | 8.303 0.392 1.365 | 1.695 8.128 3.336 0.000 |
51 | 21 - g | 2 | 7 7 253 253 | 1 1 | 0.339 0.716 0.630 | 0.274 0.200 0.264 -0.000 |
52 | 21 - g | 2 | 0 0 253 253 | 1 1 | 1.985 1.377 0.618 | 1.618 1.150 3.685 -0.000 |
53 | 21 - g | 2 | 0 0 253 253 | 1 1 | 0.573 3.272 0.288 | 0.549 0.163 7.538 -0.000 |
54 | 21 - g | 2 | 0 0 253 253 | 1 1 | 2.580 2.706 -0.344 | 2.429 -0.871 19.232 0.000 |
55 | 21 - g | 2 | 0 0 253 253 | 1 1 | 1.200 3.436 -1.169 | 0.470 -1.104 18.625 -0.000 |
56 | 21 - g | 2 | 0 0 253 253 | 1 1 | 0.309 4.007 -1.858 | -0.088 -0.296 8.498 0.000 |
57 | 21 - g | 2 | 2 2 253 253 | 1 1 | 0.532 4.253 -0.919 | 0.322 -0.423 18.690 0.000 |
58 | 21 - g | 2 | 2 2 253 253 | 1 1 | 1.391 3.508 -2.115 | -0.720 -1.190 23.199 0.000 |
59 | 21 - g | 2 | 0 0 253 253 | 1 1 | 0.272 4.579 -1.204 | 0.097 -0.254 13.234 -0.000 |
60 | 21 - g | 2 | 0 0 253 253 | 1 1 | 1.430 3.100 -1.761 | -0.270 -1.404 15.835 0.000 |
61 | 21 - g | 2 | 0 0 253 253 | 1 1 | 0.162 2.986 -0.727 | 0.121 -0.108 1.601 0.000 |
62 | 21 - g | 2 | 1 1 253 253 | 1 1 | 1.934 1.926 -1.675 | -0.201 -1.923 6.493 0.000 |
63 | 21 - g | 2 | 0 0 253 253 | 1 1 | 0.587 3.652 -1.122 | 0.255 -0.529 11.310 0.000 |
64 | 21 - g | 2 | 1 1 253 253 | 1 1 | 0.467 3.034 -0.503 | 0.409 -0.225 4.839 0.000 |
65 | 21 - g | 2 | 0 0 253 253 | 1 1 | 0.956 3.178 -0.047 | 0.955 -0.045 11.459 0.000 |
66 | 21 - g | 2 | 0 0 253 253 | 1 1 | 0.260 2.371 0.818 | 0.178 0.190 1.380 -0.000 |
67 | 21 - g | 2 | 0 0 253 253 | 1 1 | 0.455 1.987 2.144 | -0.247 0.382 1.627 0.000 |
68 | 21 - g | 2 | 1 1 253 253 | 1 1 | 1.201 -0.335 2.952 | -1.179 0.226 -0.409 0.000 |
69 | 21 - g | 2 | 1 1 253 253 | 1 1 | 0.563 -0.432 -2.951 | -0.553 -0.106 -0.251 0.000 |
70 | 21 - g | 2 | 1 1 253 253 | 1 1 | 1.284 0.154 -2.513 | -1.038 -0.755 0.198 0.000 |
71 | 21 - g | 2 | 1 1 253 253 | 1 1 | 3.630 -2.355 0.133 | 3.598 0.483 -18.950 0.000 |
72 | 21 - g | 2 | 1 1 253 253 | 1 1 | 0.514 -0.406 1.089 | 0.238 0.456 -0.214 -0.000 |
73 | 21 - g | 2 | 1 1 253 253 | 1 1 | 0.632 -0.369 1.030 | 0.325 0.541 -0.238 0.000 |
74 | 21 - g | 2 | 1 1 253 253 | 1 1 | 0.726 -1.129 1.457 | 0.082 0.721 -1.004 0.000 |
75 | 21 - g | 2 | 1 1 253 253 | 1 1 | 0.604 -0.330 1.474 | 0.059 0.601 -0.203 -0.000 |
76 | 21 - g | 2 | 1 1 253 253 | 1 1 | 0.584 0.060 1.113 | 0.258 0.524 0.035 -0.000 |
77 | 21 - g | 2 | 7 7 253 253 | 1 1 | 4.090 0.062 0.619 | 3.331 2.373 0.253 -0.000 |
78 | 21 - g | 2 | 7 7 253 253 | 1 1 | 3.395 -0.176 0.847 | 2.248 2.545 -0.601 0.000 |
79 | 21 - g | 2 | 7 7 253 253 | 1 1 | 20.973 0.072 0.836 | 14.067 15.556 1.519 -0.000 |
80 | 21 - g | 2 | 7 7 253 253 | 1 1 | 12.926 0.022 0.949 | 7.527 10.509 0.281 0.000 |
81 | 21 - g | 2 | 7 7 253 253 | 1 1 | 8.185 0.157 0.851 | 5.397 6.154 1.289 -0.000 |
82 | 21 - g | 2 | 7 7 253 253 | 1 1 | 15.209 0.090 0.975 | 8.532 12.591 1.376 -0.000 |
83 | 21 - g | 2 | 7 7 253 253 | 1 1 | 2.196 -0.159 0.951 | 1.275 1.788 -0.351 0.000 |
84 | 21 - g | 2 | 7 7 253 253 | 1 1 | 23.523 -0.014 0.969 | 13.313 19.393 -0.337 -0.000 |
85 | 21 - g | 2 | 7 7 253 253 | 1 1 | 31.995 0.027 0.995 | 17.420 26.837 0.867 0.000 |
86 | 21 - g | 2 | 7 7 253 253 | 1 1 | 2.497 -0.155 0.993 | 1.364 2.091 -0.389 0.000 |
87 | 21 - g | 2 | 7 7 253 253 | 1 1 | 3.414 0.025 0.437 | 3.093 1.445 0.084 -0.000 |
88 | 21 - g | 2 | 7 7 253 253 | 1 1 | 0.284 0.265 -2.419 | -0.213 -0.188 0.076 0.000 |
89 | 21 - g | 2 | 7 7 253 253 | 1 1 | 1.383 -0.998 0.090 | 1.377 0.125 -1.620 0.000 |
90 | 21 - g | 2 | 8 8 253 253 | 1 1 | 27.456 -0.729 -0.453 | 24.688 -12.013 -21.847 -0.000 |
91 | 21 - g | 2 | 8 8 253 253 | 1 1 | 5.160 -0.547 -0.264 | 4.981 -1.348 -2.966 -0.000 |
92 | 21 - g | 2 | 8 8 253 253 | 1 1 | 38.075 -0.529 -0.360 | 35.633 -13.415 -21.111 0.000 |
93 | 21 - g | 2 | 8 8 253 253 | 1 1 | 2.901 -0.660 -0.262 | 2.802 -0.752 -2.057 -0.000 |
94 | 21 - g | 2 | 8 8 253 253 | 1 1 | 134.047 -0.537 -0.350 | 125.905 -46.006 -75.521 0.000 |
95 | 21 - g | 2 | 8 8 253 253 | 1 1 | 3.376 -0.539 -0.285 | 3.240 -0.949 -1.911 0.000 |
96 | 21 - g | 2 | 8 8 253 253 | 1 1 | 30.117 -0.571 -0.278 | 28.961 -8.263 -18.158 0.000 |
97 | 21 - g | 2 | 8 8 253 253 | 1 1 | 153.517 -0.548 -0.290 | 147.126 -43.834 -88.401 0.000 |
98 | 21 - g | 2 | 8 8 253 253 | 1 1 | 3.467 -0.478 -0.281 | 3.332 -0.961 -1.723 -0.000 |
99 | 21 - g | 2 | 8 8 253 253 | 1 1 | 45.094 -0.556 -0.315 | 42.875 -13.970 -26.363 -0.000 |
100 | 2 - u | 2 | 3 3 253 253 | 1 1 | 4.473 -0.652 -0.489 | 3.948 -2.103 -3.125 0.330 |
101 | -4 - cbar | 2 | 6 6 330 330 | 1 1 | 163.045 -0.892 3.038 | -162.164 16.925 -165.399 1.500 |
102 | 21 - g | 2 | 6 6 330 330 | 1 1 | 25.870 -0.889 3.066 | -25.797 1.943 -26.152 -0.000 |
103 | 21 - g | 2 | 6 6 330 330 | 1 1 | 65.392 -0.880 3.051 | -65.127 5.885 -65.273 0.000 |
104 | 21 - g | 2 | 6 6 330 330 | 1 1 | 12.510 -0.882 3.012 | -12.406 1.611 -12.520 0.000 |
105 | 21 - g | 2 | 6 6 330 330 | 1 1 | 54.946 -0.857 3.049 | -54.710 5.086 -53.070 0.000 |
106 | 21 - g | 2 | 6 6 330 330 | 1 1 | 7.952 -0.798 3.068 | -7.930 0.589 -7.040 -0.000 |
107 | 21 - g | 2 | 6 6 330 330 | 1 1 | 15.998 -0.919 3.066 | -15.953 1.211 -16.852 0.000 |
108 | 21 - g | 2 | 6 6 330 330 | 1 1 | 4.111 -0.852 3.120 | -4.110 0.089 -3.941 -0.000 |
109 | 21 - g | 2 | 6 6 330 330 | 1 1 | 20.679 -0.833 3.036 | -20.563 2.184 -19.302 0.000 |
110 | 21 - g | 2 | 6 6 330 330 | 1 1 | 11.043 -0.957 2.999 | -10.931 1.564 -12.249 -0.000 |
111 | 21 - g | 2 | 6 6 330 330 | 1 1 | 2.599 -0.927 -2.947 | -2.549 -0.504 -2.771 0.000 |
112 | 21 - g | 2 | 6 6 330 330 | 1 1 | 45.179 -0.984 -3.083 | -45.103 -2.630 -51.957 0.000 |
113 | 21 - g | 2 | 6 6 330 330 | 1 1 | 17.749 -0.948 -3.020 | -17.618 -2.153 -19.469 0.000 |
114 | 21 - g | 2 | 2 2 330 330 | 1 1 | 0.576 0.761 0.382 | 0.534 0.214 0.481 -0.000 |
115 | 21 - g | 2 | 2 2 330 330 | 1 1 | 2.634 1.185 -0.768 | 1.895 -1.830 3.906 0.000 |
116 | 2 - u | 2 | 2 2 330 330 | 1 1 | 0.730 1.483 -2.039 | -0.329 -0.651 1.526 0.330 |
117 | 4 - c | 2 | 6 6 349 349 | 1 1 | 60.716 -0.925 3.126 | -60.709 0.930 -64.551 1.500 |
118 | 21 - g | 2 | 6 6 349 349 | 1 1 | 0.215 -0.258 -2.916 | -0.209 -0.048 -0.056 0.000 |
119 | 21 - g | 2 | 6 6 349 349 | 1 1 | 31.208 -0.906 3.066 | -31.119 2.354 -32.319 0.000 |
120 | 21 - g | 2 | 6 6 349 349 | 1 1 | 4.444 -0.874 2.955 | -4.367 0.824 -4.395 0.000 |
121 | 21 - g | 2 | 6 6 349 349 | 1 1 | 6.521 -0.788 -3.120 | -6.520 -0.143 -5.691 0.000 |
122 | 21 - g | 2 | 6 6 349 349 | 1 1 | 8.591 -1.022 3.129 | -8.591 0.112 -10.393 0.000 |
123 | 21 - g | 2 | 3 3 349 349 | 1 1 | 4.886 -0.880 -2.936 | -4.782 -0.999 -4.876 -0.000 |
124 | 21 - g | 2 | 3 3 349 349 | 1 1 | 10.504 -0.879 -2.753 | -9.719 -3.984 -10.468 0.000 |
125 | 21 - g | 2 | 3 3 349 349 | 1 1 | 5.217 -0.906 -2.918 | -5.087 -1.159 -5.399 0.000 |
126 | 21 - g | 2 | 3 3 349 349 | 1 1 | 1.215 -1.008 -3.062 | -1.211 -0.097 -1.443 -0.000 |
127 | 21 - g | 2 | 3 3 349 349 | 1 1 | 1.853 -0.149 -2.994 | -1.833 -0.273 -0.277 -0.000 |
128 | 21 - g | 2 | 3 3 349 349 | 1 1 | 0.571 -0.711 -1.663 | -0.053 -0.569 -0.442 0.000 |
129 | -2 - ubar | 2 | 3 3 349 349 | 1 1 | 1.889 -2.452 -2.093 | -0.942 -1.637 -10.879 0.330 |
130 | 3 - s | 2 | 0 0 366 366 | 1 1 | 0.840 4.239 2.006 | -0.354 0.762 29.108 0.500 |
131 | 21 - g | 2 | 1 1 366 366 | 1 1 | 1.411 3.506 2.434 | -1.073 0.917 23.482 -0.000 |
132 | 21 - g | 2 | 0 0 366 366 | 1 1 | 0.766 4.345 1.549 | 0.017 0.766 29.527 -0.000 |
133 | 21 - g | 2 | 0 0 366 366 | 1 1 | 0.306 4.375 1.977 | -0.121 0.281 12.138 -0.000 |
134 | -3 - sbar | 2 | 0 0 366 366 | 1 1 | 3.064 3.847 -0.599 | 2.531 -1.726 71.725 0.500 |
135 | 2 - u | 2 | 0 0 372 372 | 1 1 | 1.588 5.587 0.954 | 0.919 1.295 212.062 0.330 |
136 | 21 - g | 2 | 0 0 372 372 | 1 1 | 0.035 7.721 0.076 | 0.035 0.003 39.778 -0.000 |
137 | 21 - g | 2 | 0 0 372 372 | 1 1 | 0.652 6.530 0.489 | 0.576 0.306 223.612 -0.000 |
138 | 21 - g | 2 | 0 0 372 372 | 1 1 | 0.378 5.741 1.400 | 0.064 0.373 58.938 -0.000 |
139 | 21 - g | 2 | 0 0 372 372 | 1 1 | 1.154 5.052 1.911 | -0.385 1.088 90.202 -0.000 |
140 | 21 - g | 2 | 0 0 372 372 | 1 1 | 0.983 4.627 2.043 | -0.447 0.876 50.229 0.000 |
141 | -2 - ubar | 2 | 0 0 372 372 | 1 1 | 0.303 6.056 -2.832 | -0.289 -0.092 64.680 0.330 |
142 | 21 - g | 2 | 1 1 380 380 | 1 1 | 1.033 2.003 0.940 | 0.610 0.834 3.760 -0.000 |
143 | 21 - g | 2 | 0 0 380 380 | 1 1 | 0.502 2.278 0.328 | 0.475 0.161 2.420 0.000 |
144 | 21 - g | 2 | 0 0 380 380 | 1 1 | 1.418 1.398 0.666 | 1.114 0.876 2.693 0.000 |
145 | 21 - g | 2 | 0 0 380 380 | 1 1 | 0.398 1.899 2.178 | -0.227 0.327 1.301 -0.000 |
146 | 21 - g | 2 | 0 0 383 383 | 1 1 | 0.438 1.692 -2.924 | -0.428 -0.095 1.150 0.000 |
147 | 21 - g | 2 | 1 1 383 383 | 1 1 | 1.781 1.284 3.110 | -1.780 0.057 2.970 0.000 |
148 | 21 - g | 2 | 1 1 383 383 | 1 1 | 1.057 1.182 -2.761 | -0.982 -0.392 1.561 -0.000 |
149 | 21 - g | 2 | 1 1 383 383 | 1 1 | 0.898 1.107 2.401 | -0.662 0.606 1.210 0.000 |
150 | 2 - u | 2 | 1 1 386 386 | 1 1 | 0.807 -2.177 0.067 | 0.805 0.054 -3.513 0.330 |
151 | 21 - g | 2 | 1 1 386 386 | 1 1 | 0.927 -1.366 0.482 | 0.821 0.430 -1.699 0.000 |
152 | 21 - g | 2 | 1 1 386 386 | 1 1 | 0.179 -2.625 -0.157 | 0.176 -0.028 -1.227 0.000 |
153 | 21 - g | 2 | 1 1 386 386 | 1 1 | 1.025 -1.919 2.701 | -0.927 0.437 -3.418 -0.000 |
154 | 21 - g | 2 | 3 3 386 386 | 1 1 | 2.644 -2.378 2.326 | -1.812 1.925 -14.137 0.000 |
155 | 21 - g | 2 | 3 3 386 386 | 1 1 | 1.662 -2.211 2.398 | -1.224 1.125 -7.493 -0.000 |
156 | 21 - g | 2 | 3 3 386 386 | 1 1 | 0.513 -3.438 -2.835 | -0.489 -0.155 -7.976 0.000 |
157 | 21 - g | 2 | 1 1 386 386 | 1 1 | 1.527 -3.443 -2.540 | -1.259 -0.864 -23.858 0.000 |
158 | 21 - g | 2 | 1 1 386 386 | 1 1 | 3.983 -2.677 -2.166 | -2.234 -3.297 -28.814 -0.000 |
159 | 21 - g | 2 | 3 3 386 386 | 1 1 | 0.719 -2.546 -1.799 | -0.163 -0.700 -4.559 0.000 |
160 | 21 - g | 2 | 1 1 386 386 | 1 1 | 0.411 -2.738 -1.700 | -0.053 -0.407 -3.158 0.000 |
161 | 21 - g | 2 | 1 1 386 386 | 1 1 | 2.953 -2.549 1.821 | -0.731 2.861 -18.785 0.000 |
162 | 2 - u | 2 | 3 3 386 386 | 1 1 | 4.030 -1.857 -2.242 | -2.507 -3.156 -12.589 0.330 |
163 | 21 - g | 2 | 3 3 386 386 | 1 1 | 5.854 -1.674 -2.665 | -5.202 -2.684 -15.062 -0.000 |
164 | 21 - g | 2 | 3 3 386 386 | 1 1 | 1.571 -1.339 -2.837 | -1.499 -0.471 -2.790 0.000 |
165 | 21 - g | 2 | 3 3 386 386 | 1 1 | 1.167 -1.631 -2.592 | -0.995 -0.609 -2.868 -0.000 |
166 | 21 - g | 2 | 3 3 386 386 | 1 1 | 2.415 -2.200 -2.950 | -2.371 -0.460 -10.770 -0.000 |
167 | 21 - g | 2 | 3 3 386 386 | 1 1 | 4.461 -2.377 -0.880 | 2.843 -3.438 -23.819 -0.000 |
168 | 21 - g | 2 | 3 3 386 386 | 1 1 | 0.901 -2.022 -1.091 | 0.416 -0.799 -3.343 0.000 |
169 | 21 - g | 2 | 3 3 386 386 | 1 1 | 1.206 -1.905 -0.994 | 0.658 -1.011 -3.961 0.000 |
170 | 21 - g | 2 | 3 3 386 386 | 1 1 | 0.367 -1.451 -1.773 | -0.074 -0.359 -0.740 -0.000 |
171 | 21 - g | 2 | 1 1 386 386 | 1 1 | 0.567 -0.620 -2.895 | -0.550 -0.139 -0.375 0.000 |
172 | 21 - g | 2 | 1 1 386 386 | 1 1 | 1.006 -0.650 -1.016 | 0.530 -0.855 -0.701 -0.000 |
173 | 21 - g | 2 | 0 0 386 386 | 1 1 | 0.636 -0.977 -1.331 | 0.151 -0.618 -0.725 0.000 |
174 | 21 - g | 2 | 1 1 386 386 | 1 1 | 0.599 -0.840 -1.773 | -0.120 -0.586 -0.564 0.000 |
175 | 21 - g | 2 | 1 1 386 386 | 1 1 | 0.427 0.183 -2.913 | -0.416 -0.097 0.079 -0.000 |
176 | 21 - g | 2 | 1 1 386 386 | 1 1 | 1.004 0.390 -2.925 | -0.981 -0.216 0.402 -0.000 |
177 | 21 - g | 2 | 1 1 386 386 | 1 1 | 0.286 0.574 -1.863 | -0.082 -0.274 0.173 0.000 |
178 | 21 - g | 2 | 0 0 386 386 | 1 1 | 1.179 0.522 -0.912 | 0.722 -0.932 0.644 0.000 |
179 | 21 - g | 2 | 1 1 386 386 | 1 1 | 1.029 0.743 -0.284 | 0.988 -0.288 0.837 0.000 |
180 | 88 - junction | 51 | 1 1 386 386 | 1 1 | 0.000 0.000 0.000 | 0.000 0.000 0.000 0.000 |
181 | 2 - u | 2 | 1 1 386 386 | 1 1 | 0.110 -10.441 0.314 | 0.105 0.034 -1887.054 0.000 |
182 | 92 - string | 2 | 9 15 183 186 | 7 4 | 1.462 -6.504 0.625 | 1.185 0.856 -487.970 4.356 |
183 | 213 - rho+ | 2 | 182 182 429 430 | 1 2 | 0.984 -6.095 1.211 | 0.346 0.921 -218.257 0.780 |
184 | 113 - rho0 | 2 | 182 182 431 432 | 1 2 | 0.745 -6.037 0.090 | 0.742 0.067 -155.811 0.750 |
185 | 223 - omega | 2 | 182 182 433 434 | 1 2 | 0.624 -4.862 -1.421 | 0.093 -0.617 -40.307 0.797 |
186 | -211 - pi- | 1 | 182 182 -1 -1 | 1 0 | 0.484 -5.716 1.562 | 0.004 0.484 -73.596 0.140 |
187 | 92 - string | 2 | 16 38 188 226 | 23 39 | 5.401 -3.116 -2.733 | -4.957 -2.144 -60.802 170.811 |
188 | 111 - pi0 | 2 | 187 187 435 436 | 1 2 | 1.075 1.553 -1.039 | 0.545 -0.927 2.426 0.135 |
189 | 113 - rho0 | 2 | 187 187 437 438 | 1 2 | 0.877 2.092 -2.532 | -0.719 -0.502 3.499 0.765 |
190 | 213 - rho+ | 2 | 187 187 439 440 | 1 2 | 0.543 1.440 -0.688 | 0.420 -0.345 1.082 0.805 |
191 | 113 - rho0 | 2 | 187 187 441 442 | 1 2 | 0.549 1.546 -1.170 | 0.214 -0.505 1.230 1.032 |
192 | -211 - pi- | 1 | 187 187 -1 -1 | 1 0 | 0.297 1.308 -2.937 | -0.291 -0.061 0.510 0.140 |
193 | 2224 - Delta++ | 2 | 187 187 443 444 | 1 2 | 0.613 -0.572 -0.543 | 0.525 -0.316 -0.370 1.172 |
194 | 223 - omega | 2 | 187 187 445 447 | 1 3 | 0.092 -2.773 1.364 | 0.019 0.090 -0.734 0.788 |
195 | -3224 - Sigma*bar- | 2 | 187 187 448 449 | 1 2 | 0.653 -1.858 -2.427 | -0.494 -0.428 -2.043 1.389 |
196 | -311 - Kbar0 | 2 | 187 187 450 450 | 1 1 | 0.232 -3.567 -2.475 | -0.182 -0.143 -4.103 0.498 |
197 | 111 - pi0 | 2 | 187 187 451 452 | 1 2 | 1.119 -0.862 -1.347 | 0.249 -1.091 -1.088 0.135 |
198 | 221 - eta | 2 | 187 187 453 454 | 1 2 | 1.987 -2.827 -2.104 | -1.009 -1.711 -16.731 0.547 |
199 | 113 - rho0 | 2 | 187 187 455 456 | 1 2 | 1.465 -2.456 -1.639 | -0.101 -1.462 -8.483 0.951 |
200 | -211 - pi- | 1 | 187 187 -1 -1 | 1 0 | 0.658 -2.325 -2.916 | -0.642 -0.147 -3.336 0.140 |
201 | 111 - pi0 | 2 | 187 187 457 458 | 1 2 | 0.440 -2.960 2.966 | -0.433 0.077 -4.235 0.135 |
202 | 211 - pi+ | 1 | 187 187 -1 -1 | 1 0 | 0.569 -3.306 -0.760 | 0.412 -0.392 -7.747 0.140 |
203 | 113 - rho0 | 2 | 187 187 459 460 | 1 2 | 0.155 -3.057 -1.900 | -0.050 -0.147 -1.650 0.528 |
204 | 2112 - n0 | 1 | 187 187 -1 -1 | 1 0 | 0.743 -3.991 2.034 | -0.332 0.664 -20.080 0.940 |
205 | 211 - pi+ | 1 | 187 187 -1 -1 | 1 0 | 0.377 -2.889 -3.103 | -0.376 -0.014 -3.373 0.140 |
206 | -3222 - Sigmabar- | 1 | 187 187 -1 -1 | 1 0 | 1.081 -3.460 0.675 | 0.844 0.676 -17.186 1.189 |
207 | -323 - K*- | 2 | 187 187 461 462 | 1 2 | 1.180 -2.752 -3.128 | -1.180 -0.016 -9.207 0.936 |
208 | 321 - K+ | 1 | 187 187 -1 -1 | 1 0 | 0.156 -3.622 0.762 | 0.113 0.107 -2.910 0.494 |
209 | -313 - K*bar0 | 2 | 187 187 463 464 | 1 2 | 1.320 -2.742 -2.946 | -1.294 -0.257 -10.195 0.890 |
210 | 111 - pi0 | 2 | 187 187 465 466 | 1 2 | 0.284 -1.468 0.143 | 0.281 0.040 -0.584 0.135 |
211 | 2112 - n0 | 1 | 187 187 -1 -1 | 1 0 | 0.909 -1.018 2.469 | -0.711 0.566 -1.094 0.940 |
212 | -2212 - pbar- | 1 | 187 187 -1 -1 | 1 0 | 1.319 -0.885 -2.904 | -1.282 -0.311 -1.326 0.938 |
